epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,3290.12,0.78772,0.90535,1.08704,0.93339,0.77027,0.79659,0.55216,1.38134,1.638,1.54441,0.000504723,0.000504723,0.000504723
100,3319.29,0.87564,1.02552,1.13268,0.89851,0.77778,0.79772,0.5615,1.36916,1.63641,1.5191,0.000495291,0.000495291,0.000495291
101,3348.43,0.83439,1.09585,1.10314,0.89851,0.77778,0.79772,0.5615,1.36916,1.63641,1.5191,0.00048586,0.00048586,0.00048586
102,3377.88,0.80923,0.89026,1.1235,0.8402,0.77778,0.77075,0.54704,1.32284,1.62385,1.48726,0.000476429,0.000476429,0.000476429
103,3407.23,0.7875,0.85281,1.05166,0.95142,0.7194,0.77174,0.53677,1.34095,1.64898,1.50838,0.000466997,0.000466997,0.000466997
104,3436.45,0.7162,0.77968,0.97744,0.95142,0.7194,0.77174,0.53677,1.34095,1.64898,1.50838,0.000457566,0.000457566,0.000457566
105,3465.27,0.79236,0.91872,1.05355,0.9543,0.72044,0.77235,0.55561,1.27648,1.60828,1.4531,0.000448134,0.000448134,0.000448134
106,3494.29,0.84036,0.88012,1.0798,0.9543,0.72044,0.77235,0.55561,1.27648,1.60828,1.4531,0.000438703,0.000438703,0.000438703
107,3523.81,0.78952,0.78948,0.9864,0.96099,0.72077,0.78572,0.56971,1.23418,1.57526,1.41759,0.000429272,0.000429272,0.000429272
108,3554.38,0.73011,0.81986,1.02952,0.96589,0.72203,0.79601,0.5757,1.28795,1.59398,1.45891,0.00041984,0.00041984,0.00041984
109,3583.7,0.80015,0.85996,1.07464,0.96589,0.72203,0.79601,0.5757,1.28795,1.59398,1.45891,0.000410409,0.000410409,0.000410409
110,3612.91,0.81618,0.88683,1.07621,0.96276,0.72222,0.79075,0.57534,1.2629,1.56133,1.44443,0.000400977,0.000400977,0.000400977
111,3641.85,0.78516,0.91732,1.06003,0.9642,0.72222,0.79668,0.5746,1.30742,1.56467,1.47375,0.000391546,0.000391546,0.000391546
112,3670.89,0.76221,0.79777,1.04629,0.9642,0.72222,0.79668,0.5746,1.30742,1.56467,1.47375,0.000382115,0.000382115,0.000382115
113,3700.02,0.7819,0.84763,1.02345,0.96698,0.72222,0.79901,0.58803,1.31547,1.55541,1.48232,0.000372683,0.000372683,0.000372683
114,3729,0.75407,0.83906,1.01787,0.96698,0.72222,0.79901,0.58803,1.31547,1.55541,1.48232,0.000363252,0.000363252,0.000363252
115,3773.79,0.8094,0.83258,1.08662,0.96879,0.72222,0.80003,0.56172,1.33616,1.58396,1.50061,0.00035382,0.00035382,0.00035382
116,3833.05,0.77312,0.90813,1.05512,0.96807,0.72222,0.77949,0.55477,1.3555,1.5328,1.46989,0.000344389,0.000344389,0.000344389
117,3889.87,0.74314,0.91467,1.02925,0.96807,0.72222,0.77949,0.55477,1.3555,1.5328,1.46989,0.000334958,0.000334958,0.000334958
118,3937.27,0.65717,0.75807,0.99202,0.96935,0.72222,0.77824,0.55539,1.35051,1.48485,1.45267,0.000325526,0.000325526,0.000325526
119,3966.68,0.73473,0.83441,1.03422,0.96842,0.72222,0.80463,0.56577,1.33918,1.40241,1.42455,0.000316095,0.000316095,0.000316095
120,3995.64,0.7479,0.83431,1.02945,0.96842,0.72222,0.80463,0.56577,1.33918,1.40241,1.42455,0.000306663,0.000306663,0.000306663
121,4028.53,0.70575,0.8654,1.00096,0.77197,0.83333,0.80722,0.55699,1.31959,1.36758,1.39894,0.000297232,0.000297232,0.000297232
122,4084.82,0.78006,0.81746,1.03021,0.77197,0.83333,0.80722,0.55699,1.31959,1.36758,1.39894,0.000287801,0.000287801,0.000287801
123,4135.94,0.77881,0.8558,1.06167,0.96404,0.72222,0.80083,0.54365,1.31347,1.36215,1.40337,0.000278369,0.000278369,0.000278369
124,4185.54,0.82616,0.94248,1.01706,0.95941,0.72222,0.80079,0.5559,1.3221,1.3529,1.42445,0.000268938,0.000268938,0.000268938
125,4229.6,0.76516,0.88422,1.06474,0.95941,0.72222,0.80079,0.5559,1.3221,1.3529,1.42445,0.000259506,0.000259506,0.000259506
